date,births
1980-01-01,9344
1980-01-02,9012
1980-01-03,10481
1980-01-04,10827
1980-01-05,10531
1980-01-06,10456
1980-01-07,10668
1980-01-08,9148
1980-01-09,8873
1980-01-10,10605
1980-01-11,10851
1980-01-12,10737
1980-01-13,10663
1980-01-14,10800
1980-01-15,9418
1980-01-16,8894
1980-01-17,10534
1980-01-18,10842
1980-01-19,5320
1980-01-20,10773
1980-01-21,10735
1980-01-22,10186
1980-01-23,9113
1980-01-24,9828
1980-01-25,10597
1980-01-26,10931
1980-01-27,10576
1980-01-28,10760
1980-01-29,10183
1980-01-30,9060
1980-01-31,9445
1980-02-01,10407
1980-02-02,10625
1980-02-03,10520
1980-02-04,10449
1980-02-05,9806
1980-02-06,9132
1980-02-07,10040
1980-02-08,10710
1980-02-09,10683
1980-02-10,10616
1980-02-11,10688
1980-02-12,9954
1980-02-13,9090
1980-02-14,9730
1980-02-15,10886
1980-02-16,10606
1980-02-17,10644
1980-02-18,10928
1980-02-19,5480
1980-02-20,4432
1980-02-21,8859
1980-02-22,8986
1980-02-23,9713
1980-02-24,10664
1980-02-25,10966
1980-02-26,10709
1980-02-27,10140
1980-02-28,9047
1980-02-29,9723
1980-03-01,10739
1980-03-02,10838
1980-03-03,10790
1980-03-04,10762
1980-03-05,10215
1980-03-06,9216
1980-03-07,10165
1980-03-08,10901
1980-03-09,11166
1980-03-10,10797
1980-03-11,10774
1980-03-12,10176
1980-03-13,9247
1980-03-14,10017
1980-03-15,11116
1980-03-16,10895
1980-03-17,10897
1980-03-18,10998
1980-03-19,10225
1980-03-20,9358
1980-03-21,4607
1980-03-22,5083
1980-03-23,10663
1980-03-24,10785
1980-03-25,10493
1980-03-26,10449
1980-03-27,9908
1980-03-28,8802
1980-03-29,9338
1980-03-30,10169
1980-03-31,10350
1980-04-01,10122
1980-04-02,10256
1980-04-03,9773
1980-04-04,8753
1980-04-05,9278
1980-04-06,10235
1980-04-07,10024
1980-04-08,9955
1980-04-09,9950
1980-04-10,9564
1980-04-11,8663
1980-04-12,9189
1980-04-13,10362
1980-04-14,10137
1980-04-15,9837
1980-04-16,10052
1980-04-17,9371
1980-04-18,8551
1980-04-19,9217
1980-04-20,10181
1980-04-21,10056
1980-04-22,5028
1980-04-23,9919
1980-04-24,10174
1980-04-25,8630
1980-04-26,8252
1980-04-27,10056
1980-04-28,10276
1980-04-29,9966
1980-04-30,10108
1980-05-01,10102
1980-05-02,8799
1980-05-03,8760
1980-05-04,9894
1980-05-05,10451
1980-05-06,10150
1980-05-07,10181
1980-05-08,10272
1980-05-09,8696
1980-05-10,8399
1980-05-11,10355
1980-05-12,10765
1980-05-13,10043
1980-05-14,8164
1980-05-15,9480
1980-05-16,8774
1980-05-17,8342
1980-05-18,10009
1980-05-19,10274
1980-05-20,9988
1980-05-21,9720
1980-05-22,9758
1980-05-24,8343
1980-05-25,8430
1980-05-26,9642
1980-05-27,10282
1980-05-28,9932
1980-05-29,10021
1980-05-30,9869
1980-05-31,8709
1980-06-01,8213
1980-06-02,9932
1980-06-03,10308
1980-06-04,10050
1980-06-05,9700
1980-06-06,9944
1980-06-07,8473
1980-06-08,8209
1980-06-09,10273
1980-06-10,10592
1980-06-11,10257
1980-06-12,10022
1980-06-13,9963
1980-06-14,8536
1980-06-15,8104
1980-06-16,8490
1980-06-17,7968
1980-06-18,9231
1980-06-19,10504
1980-06-20,10961
1980-06-21,8990
1980-06-22,8250
1980-06-23,9782
1980-06-25,8232
1980-06-26,9011
1980-06-27,9902
1980-06-28,9939
1980-06-29,8691
1980-06-30,8213
1980-07-01,9833
1980-07-02,9822
1980-07-03,9564
1980-07-04,9759
1980-07-05,10234
1980-07-06,8613
1980-07-07,8291
1980-07-08,10101
1980-07-09,9972
1980-07-10,9660
1980-07-11,9812
1980-07-12,10180
1980-07-13,8730
1980-07-14,8457
1980-07-15,9675
1980-07-16,10076
1980-07-17,9593
1980-07-18,9908
1980-07-19,10067
1980-07-20,8730
1980-07-21,8258
1980-07-22,9880
1980-07-23,9868
1980-07-24,9677
1980-07-25,9739
1980-07-26,9996
1980-07-27,8798
1980-07-28,8285
1980-07-29,9816
1980-07-30,10251
1980-07-31,9907
1980-08-01,10108
1980-08-02,10001
1980-08-03,8772
1980-08-04,8354
1980-08-05,10154
1980-08-06,10252
1980-08-07,9790
1980-08-08,10432
1980-08-09,10201
1980-08-10,8918
1980-08-11,8571
1980-08-12,9716
1980-08-13,10175
1980-08-14,10093
1980-08-15,10156
1980-08-16,10268
1980-08-17,8956
1980-08-18,8604
1980-08-19,10032
1980-08-20,10177
1980-08-21,9783
1980-08-22,10211
1980-08-23,9615
1980-08-24,4202
1980-08-25,8450
1980-08-26,9189
1980-08-27,10160
1980-08-28,9935
1980-08-29,10062
1980-08-30,10014
1980-08-31,9499
1980-09-01,8731
1980-09-02,9148
1980-09-03,10008
1980-09-04,10156
1980-09-05,9963
1980-09-06,9778
1980-09-07,9394
1980-09-08,8603
1980-09-09,9300
1980-09-10,10237
1980-09-11,10131
1980-09-12,9914
1980-09-13,9995
1980-09-14,9788
1980-09-15,8612
1980-09-16,9270
1980-09-17,10418
1980-09-18,10358
1980-09-19,9982
1980-09-20,9999
1980-09-21,9573
1980-09-22,8629
1980-09-23,9117
1980-09-24,5131
1980-09-25,4908
1980-09-26,10136
1980-09-27,9995
1980-09-28,9973
1980-09-29,9306
1980-09-30,8453
1980-10-01,9044
1980-10-02,10062
1980-10-03,10123
1980-10-04,10058
1980-10-05,9893
1980-10-06,9357
1980-10-07,8453
1980-10-08,8777
1980-10-09,10050
1980-10-10,10233
1980-10-11,9918
1980-10-12,9979
1980-10-13,9284
1980-10-14,8449
1980-10-15,9214
1980-10-16,10051
1980-10-17,10270
1980-10-18,10006
1980-10-19,9929
1980-10-20,9182
1980-10-21,8103
1980-10-22,8902
1980-10-23,10054
1980-10-24,10043
1980-10-25,4989
1980-10-26,4941
1980-10-27,9988
1980-10-28,9264
1980-10-29,8527
1980-10-30,9148
1980-10-31,9966
1980-11-01,9821
1980-11-02,9432
1980-11-03,9663
1980-11-04,9100
1980-11-05,8405
1980-11-06,9022
1980-11-07,9848
1980-11-08,9874
1980-11-09,9834
1980-11-10,9821
1980-11-11,9184
1980-11-12,8367
1980-11-13,9109
1980-11-14,10312
1980-11-15,10106
1980-11-16,9844
1980-11-17,10259
1980-11-18,9401
1980-11-19,8612
1980-11-20,8608
1980-11-21,9198
1980-11-22,10292
1980-11-23,10209
1980-11-24,10215
1980-11-25,9300
1980-11-26,8511
1980-11-27,9218
1980-11-28,10033
1980-11-29,10193
1980-11-30,9989
1980-12-01,10114
1980-12-02,9590
1980-12-03,8434
1980-12-04,8929
1980-12-05,10030
1980-12-06,10232
1980-12-07,9928
1980-12-08,9920
1980-12-09,9268
1980-12-10,8675
1980-12-11,9580
1980-12-12,10114
1980-12-13,10292
1980-12-14,10316
1980-12-15,10267
1980-12-16,9636
1980-12-17,8694
1980-12-18,9539
1980-12-19,10833
1980-12-20,10657
1980-12-21,10581
1980-12-22,10525
1980-12-23,10033
1980-12-24,8899
1980-12-25,9523
1980-12-26,5355
1980-12-27,5313
1980-12-28,11005
1980-12-29,10687
1980-12-30,9978
1980-12-31,9272
1981-01-01,9026
1981-01-02,9819
1981-01-03,10748
1981-01-04,10959
1981-01-05,10878
1981-01-06,10951
1981-01-07,10226
1981-01-08,9124
1981-01-09,9705
1981-01-10,10855
1981-01-11,11038
1981-01-12,11063
1981-01-13,10876
1981-01-14,10051
1981-01-15,9198
1981-01-16,9932
1981-01-17,10877
1981-01-18,10913
1981-01-19,10569
1981-01-20,10691
1981-01-21,10070
1981-01-22,9439
1981-01-23,9819
1981-01-24,11225
1981-01-25,11388
1981-01-26,11018
1981-01-27,5640
1981-01-28,11006
1981-01-29,9585
1981-01-30,9176
1981-01-31,10783
1981-02-01,11194
1981-02-02,10785
1981-02-03,11044
1981-02-04,11492
1981-02-05,9466
1981-02-06,9145
1981-02-07,11026
1981-02-08,11371
1981-02-09,10923
1981-02-10,10756
1981-02-11,10897
1981-02-12,9361
1981-02-13,9001
1981-02-14,10933
1981-02-15,11193
1981-02-16,10942
1981-02-17,10811
1981-02-18,10779
